Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location,Lat,Long
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,,,CENTRE,AL,35960,CHEROKEE,2569275531,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"400 NORTHWOOD DR
CENTRE, AL 35960
(34.16275348700049, -85.64348988999967)",34.1627534870004,-85.64348988999967
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,,,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,"2105 EAST SOUTH BOULEVARD
MONTGOMERY, AL 36116
(32.327185475000476, -86.27659060999969)",32.32718547500047,-86.27659060999969
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,,,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"1725 PINE STREET
MONTGOMERY, AL 36106
(32.36658059800044, -86.28577143999968)",32.3665805980004,-86.28577143999968
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,,,VALLEY,AL,36854,CHAMBERS,3347561400,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,"4800 48TH ST
VALLEY, AL 36854
(32.82374935500047, -85.16972400499964)",32.8237493550004,-85.16972400499964
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,,,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"2000 PEPPERELL PARKWAY
OPELIKA, AL 36801
(32.63808803100045, -85.40445270799967)",32.6380880310004,-85.40445270799967
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,,,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,Government - Local,TRUE,"209 NORTH MAIN STREET
WEDOWEE, AL 36278
(33.311554429000466, -85.48497694599968)",33.31155442900046,-85.48497694599968
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Acute Care Hospitals,Government - State,TRUE,"619 SOUTH 19TH STREET
BIRMINGHAM, AL 35233
(33.509020706000456, -86.79972854499965)",33.50902070600045,-86.79972854499965
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,,,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"805 FRIENDSHIP ROAD
TALLASSEE, AL 36078
(32.53493143400044, -85.90985303499968)",32.5349314340004,-85.90985303499968
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,,,CULLMAN,AL,35058,CULLMAN,2567372000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1912 ALABAMA HIGHWAY 157
CULLMAN, AL 35058
(34.198595484000464, -86.80404845799967)",34.19859548400046,-86.80404845799967
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,,,ANDALUSIA,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,Proprietary,TRUE,"849 SOUTH THREE NOTCH STREET
ANDALUSIA, AL 36420
(31.29797807400047, -86.49481434799964)",31.2979780740004,-86.49481434799964
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,,,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,Proprietary,TRUE,"301 EAST 18TH ST
ANNISTON, AL 36201
(33.66767747400047, -85.83426678999967)",33.6676774740004,-85.83426678999967
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,,,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"101 SIVLEY RD
HUNTSVILLE, AL 35801
(34.721080035000455, -86.58128515799967)",34.72108003500045,-86.58128515799967
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,,,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,Proprietary,TRUE,"1007 GOODYEAR AVENUE
GADSDEN, AL 35903
(34.00937966100048, -85.96778843399966)",34.0093796610004,-85.96778843399966
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,,,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"1256 MILITARY STREET SOUTH
HAMILTON, AL 35570
(34.126689498000474, -87.98987427999964)",34.12668949800047,-87.98987427999964
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,"1653 TEMPLE AVENUE NORTH
FAYETTE, AL 35555
(33.70769560100047, -87.82377536199965)",33.7076956010004,-87.82377536199965
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,,,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,Proprietary,TRUE,"600 SOUTH THIRD STREET
GADSDEN, AL 35901
(34.00337792300047, -86.00409109099968)",34.0033779230004,-86.00409109099968
10047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,,,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,Proprietary,TRUE,"515 N MIRANDA AVENUE
GEORGIANA, AL 36033
(31.63636061700049, -86.74277273699965)",31.6363606170004,-86.74277273699965
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,,,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,TRUE,"400 N EDWARDS STREET
ENTERPRISE, AL 36330
(31.31871974000046, -85.85572814799968)",31.3187197400004,-85.85572814799968
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,,,EUTAW,AL,35462,GREENE,2053723388,Acute Care Hospitals,Government - Local,TRUE,"509 WILSON AVENUE
EUTAW, AL 35462
(32.842357018000484, -87.89002211199966)",32.84235701800048,-87.89002211199966
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,,,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Acute Care Hospitals,Proprietary,TRUE,"201 MARIARDEN ROAD
DADEVILLE, AL 36853
(32.81867730100049, -85.74161727099965)",32.8186773010004,-85.74161727099965
10054,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS,1874 BELTLINE RD SW,,,DECATUR,AL,35601,MORGAN,2563502211,Acute Care Hospitals,Proprietary,TRUE,"1874 BELTLINE RD SW
DECATUR, AL 35601
(34.57574890800049, -87.01654545399964)",34.5757489080004,-87.01654545399964
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,,,DOTHAN,AL,36305,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,TRUE,"4370 WEST MAIN STREET
DOTHAN, AL 36305
(31.235827652000467, -85.45721341599966)",31.23582765200046,-85.45721341599966
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,,,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"810 ST VINCENT'S DRIVE
BIRMINGHAM, AL 35205
(33.50797408000045, -86.78874796299965)",33.5079740800004,-86.78874796299965
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,,,CENTREVILLE,AL,35042,BIBB,2059264881,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"208 PIERSON AVE
CENTREVILLE, AL 35042
(32.95133437500044, -87.14764544299965)",32.9513343750004,-87.14764544299965
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,,,MOULTON,AL,35650,LAWRENCE,2569742200,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"202 HOSPITAL STREET
MOULTON, AL 35650
(34.48294539200049, -87.28600283599968)",34.4829453920004,-87.28600283599968
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,,,SCOTTSBORO,AL,35768,JACKSON,2562594444,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"380 WOODS COVE ROAD
SCOTTSBORO, AL 35768
(34.66168205800045, -86.04673208299965)",34.6616820580004,-86.04673208299965
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,,,GENEVA,AL,36340,GENEVA,3346843655,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1200 W MAPLE AVENUE
GENEVA, AL 36340
(31.048047807000444, -85.89112541199967)",31.04804780700044,-85.89112541199967
10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,,,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"3316 HIGHWAY 280
ALEXANDER CITY, AL 35010
(32.93133600400046, -85.96878623399965)",32.9313360040004,-85.96878623399965
10066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,,,FLORALA,AL,36442,COVINGTON,3348583287,Acute Care Hospitals,Proprietary,TRUE,"24273 FIFTH AVENUE
FLORALA, AL 36442
(30.99985773500049, -86.31333780999967)",30.9998577350004,-86.31333780999967
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,,,EUFAULA,AL,36027,BARBOUR,3346887271,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"820 W WASHINGTON ST
EUFAULA, AL 36027
(31.888018039000485, -85.15606188799967)",31.88801803900048,-85.15606188799967
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,,,ASHLAND,AL,36251,CLAY,2563542131,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"83825 HIGHWAY 9 P O BOX 1270
ASHLAND, AL 36251
(33.276658306000456, -85.82361174099964)",33.27665830600045,-85.82361174099964
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,,,ANNISTON,AL,36207,CALHOUN,2562355121,Acute Care Hospitals,Government - Local,TRUE,"400 EAST 10TH STREET
ANNISTON, AL 36207
(33.65707502200047, -85.82345700699966)",33.6570750220004,-85.82345700699966
10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,,,ATHENS,AL,35611,LIMESTONE,2562339292,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"700 WEST MARKET STREET
ATHENS, AL 35611
(34.80357721900049, -86.97837651799966)",34.8035772190004,-86.97837651799966
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,,,FOLEY,AL,36535,BALDWIN,2519493400,Acute Care Hospitals,Proprietary,TRUE,"1613 NORTH MCKENZIE STREET
FOLEY, AL 36535
(30.425680853000472, -87.68324248899967)",30.42568085300047,-87.68324248899967
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,,,DECATUR,AL,35601,MORGAN,2563412000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1201 7TH STREET SE
DECATUR, AL 35601
(34.59115855300047, -86.97263954799968)",34.5911585530004,-86.97263954799968
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,,,WINFIELD,AL,35594,MARION,2054877736,Acute Care Hospitals,Proprietary,TRUE,"1530 U S HIGHWAY 43
WINFIELD, AL 35594
(33.92936568100049, -87.82463730199964)",33.9293656810004,-87.82463730199964
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,,,MOBILE,AL,36617,MOBILE,2514717110,Acute Care Hospitals,Government - State,TRUE,"2451 FILLINGIM STREET
MOBILE, AL 36617
(30.70815305800045, -88.09899630099966)",30.7081530580004,-88.09899630099966
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,,,JASPER,AL,35502,WALKER,2053874000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"3400 HIGHWAY 78 EAST
JASPER, AL 35502
(33.841048155000465, -87.23655598599964)",33.84104815500046,-87.23655598599964
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,,,MOBILE,AL,36608,MOBILE,2516331000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,"6801 AIRPORT BOULEVARD
MOBILE, AL 36608
(30.682088543000475, -88.19924246099964)",30.68208854300047,-88.19924246099964
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,,,GROVE HILL,AL,36451,CLARKE,2512753191,Acute Care Hospitals,Government - Local,TRUE,"295 JACKSON HWY S
GROVE HILL, AL 36451
(31.694780969000476, -87.77707483999967)",31.69478096900047,-87.77707483999967
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,,,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"809 UNIVERSITY BOULEVARD EAST
TUSCALOOSA, AL 35401
(33.206173495000485, -87.52548268899966)",33.20617349500048,-87.52548268899966
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,,,GREENSBORO,AL,36744,HALE,3346243024,Acute Care Hospitals,Government - Local,TRUE,"508 GREEN STREET
GREENSBORO, AL 36744
(32.69474952800044, -87.58692229699966)",32.6947495280004,-87.58692229699966
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,,,WETUMPKA,AL,36092,ELMORE,3345674311,Acute Care Hospitals,Government - State,TRUE,"500 HOSPITAL DRIVE
WETUMPKA, AL 36092
(32.55226697200044, -86.18703624199964)",32.5522669720004,-86.18703624199964
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,,,BREWTON,AL,36426,ESCAMBIA,2518678061,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"1301 BELLEVILLE AVENUE
BREWTON, AL 36426
(31.127213068000458, -87.07247839899969)",31.12721306800045,-87.07247839899969
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,,,FAIRHOPE,AL,36532,BALDWIN,2519282375,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"750 MORPHY AVENUE
FAIRHOPE, AL 36532
(30.519965731000468, -87.88950804299964)",30.51996573100046,-87.88950804299964
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,,,TALLADEGA,AL,35161,TALLADEGA,2567614542,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"604 STONE AVENUE
TALLADEGA, AL 35161
(33.43980877800044, -86.09087857399965)",33.4398087780004,-86.09087857399965
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,,,CAMDEN,AL,36726,WILCOX,3346824131,Acute Care Hospitals,Government - Hospital District or Authority,FALSE,"317 MCWILLIAMS AVENUE
CAMDEN, AL 36726
(31.998070313000483, -87.29947924699968)",31.99807031300048,-87.29947924699968
10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,,,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,"701 PRINCETON AVENUE SOUTHWEST
BIRMINGHAM, AL 35211
(33.499166809000485, -86.84589453999968)",33.49916680900048,-86.84589453999968
10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,,,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,Acute Care Hospitals,Proprietary,TRUE,"800 MONTCLAIR RD
BIRMINGHAM, AL 35213
(33.51533518400049, -86.74670616099968)",33.5153351840004,-86.74670616099968
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,,,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"124 S MEMORIAL DR
PRATTVILLE, AL 36067
(32.46420012600049, -86.45095317199969)",32.4642001260004,-86.45095317199969
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,,,CARROLLTON,AL,35447,PICKENS,2053678111,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"241 ROBERT K WILSON DRIVE
CARROLLTON, AL 35447
(33.27475023000045, -88.08964716099968)",33.2747502300004,-88.08964716099968
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,,,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Acute Care Hospitals,Proprietary,TRUE,"102 WEST CONECUH AVENUE
UNION SPRINGS, AL 36089
(32.14125207900048, -85.70150667999968)",32.1412520790004,-85.70150667999968
10112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,,,DEMOPOLIS,AL,36732,MARENGO,3342894000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"105 HIGHWAY 80 EAST
DEMOPOLIS, AL 36732
(32.50364807100044, -87.83705346699969)",32.5036480710004,-87.83705346699969
10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,,,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"5 MOBILE INFIRMARY CIRCLE
MOBILE, AL 36652
(30.696006938000437, -88.08007298899969)",30.69600693800043,-88.08007298899969
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,,,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"995 9TH AVENUE SOUTHWEST
BESSEMER, AL 35021
(33.37292059500044, -86.99182800999967)",33.3729205950004,-86.99182800999967
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,,,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,TRUE,"1015 MEDICAL CENTER PARKWAY
SELMA, AL 36701
(32.43003583200044, -87.05490492599967)",32.4300358320004,-87.05490492599967
10120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886",,,MONROEVILLE,AL,36460,MONROE,2515753111,Acute Care Hospitals,Government - Local,TRUE,"2016 SOUTH ALABAMA AVENUE, BOX 886
MONROEVILLE, AL 36460
(31.498389088000465, -87.31923289799965)",31.49838908800046,-87.31923289799965
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,,,HALEYVILLE,AL,35565,WINSTON,2054857117,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,"42024 HIGHWAY 195 E POST OFFICE BOX 780
HALEYVILLE, AL 35565
(34.24109861700049, -87.59093156099965)",34.2410986170004,-87.59093156099965
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,,,TROY,AL,36081,PIKE,3346705000,Acute Care Hospitals,Government - Federal,TRUE,"1330 HIGHWAY 231 SOUTH
TROY, AL 36081
(31.780394858000477, -85.94585267499968)",31.78039485800047,-85.94585267499968
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,,,JACKSON,AL,36545,CLARKE,2512469021,Acute Care Hospitals,Proprietary,TRUE,"220 HOSPITAL DRIVE
JACKSON, AL 36545
(31.530601765000483, -87.89346748099967)",31.53060176500048,-87.89346748099967
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,,,BAY MINETTE,AL,36507,BALDWIN,2519375521,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"1815 HAND AVENUE
BAY MINETTE, AL 36507
(30.90193942400049, -87.78311346199968)",30.9019394240004,-87.78311346199968
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,,,PELL CITY,AL,35125,SAINT CLAIR,2053383301,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,"7063 VETERANS PARKWAY
PELL CITY, AL 35125
(33.60499908100047, -86.30047014099966)",33.6049990810004,-86.30047014099966
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,,,HUNTSVILLE,AL,35801,MADISON,2568823100,Acute Care Hospitals,Proprietary,TRUE,"ONE HOSPITAL DR SE
HUNTSVILLE, AL 35801
(34.72638262100048, -86.57307567799967)",34.7263826210004,-86.57307567799967
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,,,YORK,AL,36925,SUMTER,2053925263,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,"751 DERBY DRIVE
YORK, AL 36925
(32.491622289000475, -88.29593606899965)",32.49162228900047,-88.29593606899965
10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,,,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,Acute Care Hospitals,Proprietary,TRUE,"2010 BROOKWOOD MEDICAL CENTER DRIVE
BIRMINGHAM, AL 35209
(33.463066006000474, -86.77656157299964)",33.46306600600047,-86.77656157299964
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,,MOBILE,AL,36608,MOBILE,2513449630,Acute Care Hospitals,Proprietary,TRUE,"3719 DAUPHIN STREET
MOBILE, AL 36608
(30.68585798200047, -88.13176975399966)",30.6858579820004,-88.13176975399966
10146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,,,JACKSONVILLE,AL,36265,CALHOUN,2567824538,Acute Care Hospitals,Proprietary,TRUE,"1701 SOUTH PELHAM ROAD
JACKSONVILLE, AL 36265
(33.78560646000045, -85.76124893399964)",33.7856064600004,-85.76124893399964
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,,,EVERGREEN,AL,36401,CONECUH,2515782480,Acute Care Hospitals,Proprietary,TRUE,"101 CRESTVIEW AVENUE
EVERGREEN, AL 36401
(31.430523947000438, -86.94077942799964)",31.43052394700043,-86.94077942799964
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,,,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"400 TAYLOR ROAD
MONTGOMERY, AL 36117
(32.37635720700047, -86.17186837799966)",32.3763572070004,-86.17186837799966
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,,,BIRMINGHAM,AL,35233,,2059334515,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,FALSE,"700 SOUTH 19TH STREET
BIRMINGHAM, AL 35233
(33.509020706000456, -86.79972854499965)",33.50902070600045,-86.79972854499965
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,,,GREENVILLE,AL,36037,BUTLER,3343822200,Acute Care Hospitals,Proprietary,TRUE,"29 L V STABLER DRIVE
GREENVILLE, AL 36037
(31.82974271900048, -86.64611544199965)",31.8297427190004,-86.64611544199965
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,,,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"201 WEST AVALON AVENUE
MUSCLE SHOALS, AL 35661
(34.74499831100047, -87.67642541099968)",34.7449983110004,-87.67642541099968
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,,,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,Acute Care Hospitals,Proprietary,TRUE,"15155 HIGHWAY 43
RUSSELLVILLE, AL 35653
(34.51126041200047, -87.71760501499966)",34.5112604120004,-87.71760501499966
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,,,SYLACAUGA,AL,35150,TALLADEGA,2562495000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,"315 W HICKORY ST
SYLACAUGA, AL 35150
(33.16464738900049, -86.25412059199965)",33.1646473890004,-86.25412059199965
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,,,PHENIX CITY,AL,36867,RUSSELL,3347323000,Acute Care Hospitals,Government - State,TRUE,"4401 RIVER CHASE DRIVE
PHENIX CITY, AL 36867
(32.50912452300048, -85.00575018799964)",32.5091245230004,-85.00575018799964
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,"401 MEDICAL PARK DRIVE
ATMORE, AL 36502
(31.016999694000447, -87.47965906699966)",31.01699969400044,-87.47965906699966
